class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,airport,car,restaurant,street,train,man,woman
0.256,0.233,0.146,0.155,0.171,0.204,0.333,0.363,0.446,0.41,0.071,0.02,0.027,0.031,0.141,0.217,0.26,0.232,0.171,0.139,0.136,0.153,0.194,0.146,0.201,0.225,0.272,0.179,0.088,0.018,0.0,0.0,0.071,0.215,0.339,0.43,0.43,0.44,0.439,0.416,1,0,0,0,0,1,0
0.335,0.309,0.272,0.294,0.355,0.472,0.473,0.418,0.47,0.418,0.182,0.172,0.196,0.166,0.208,0.203,0.24,0.187,0.224,0.263,0.258,0.257,0.289,0.288,0.382,0.453,0.478,0.304,0.212,0.23,0.254,0.197,0.219,0.239,0.274,0.37,0.338,0.325,0.323,0.288,1,0,0,0,0,1,0
0.102,0.16,0.161,0.286,0.415,0.398,0.265,0.151,0.147,0.266,0.186,0.228,0.247,0.131,0.138,0.12,0.174,0.135,0.146,0.193,0.193,0.149,0.186,0.247,0.396,0.518,0.496,0.308,0.196,0.227,0.352,0.342,0.376,0.41,0.449,0.493,0.464,0.474,0.459,0.436,1,0,0,0,0,1,0
0.114,0.107,0.039,0.0,0.02,0.138,0.186,0.225,0.26,0.152,0.041,0.099,0.16,0.125,0.16,0.18,0.25,0.225,0.132,0.127,0.108,0.217,0.24,0.247,0.306,0.196,0.173,0.042,0.0,0.14,0.263,0.275,0.263,0.215,0.267,0.322,0.351,0.403,0.417,0.412,1,0,0,0,0,1,0
0.131,0.115,0.096,0.114,0.181,0.286,0.269,0.277,0.298,0.221,0.045,0.132,0.208,0.122,0.097,0.0,0.003,0.076,0.125,0.136,0.183,0.153,0.244,0.296,0.312,0.312,0.272,0.11,0.042,0.054,0.119,0.151,0.21,0.369,0.441,0.498,0.509,0.541,0.552,0.576,1,0,0,0,0,1,0
0.131,0.115,0.093,0.152,0.271,0.309,0.176,0.103,0.07,0.053,0.0,0.079,0.084,0.0,0.0,0.067,0.122,0.076,0.039,0.0,0.0,0.016,0.021,0.0,0.0,0.084,0.081,0.004,0.012,0.0,0.061,0.038,0.0,0.047,0.204,0.346,0.368,0.373,0.356,0.272,1,0,0,0,0,1,0
0.017,0.031,0.0,0.047,0.074,0.112,0.108,0.196,0.382,0.381,0.249,0.215,0.214,0.2,0.171,0.113,0.109,0.076,0.093,0.157,0.183,0.197,0.165,0.037,0.007,0.0,0.0,0.0,0.023,0.083,0.122,0.081,0.115,0.239,0.377,0.461,0.472,0.425,0.417,0.38,1,0,0,0,0,1,0
0.307,0.279,0.197,0.096,0.037,0.019,0.054,0.09,0.263,0.295,0.178,0.34,0.431,0.419,0.446,0.37,0.345,0.322,0.306,0.236,0.2,0.197,0.194,0.191,0.257,0.296,0.257,0.167,0.2,0.263,0.379,0.374,0.352,0.357,0.416,0.452,0.432,0.446,0.439,0.424,1,0,0,0,0,1,0
0.324,0.294,0.266,0.216,0.251,0.32,0.294,0.412,0.642,0.619,0.558,0.558,0.47,0.4,0.26,0.067,0.0,0.0,0.0,0.048,0.027,0.0,0.0,0.049,0.188,0.26,0.29,0.224,0.192,0.241,0.498,0.475,0.467,0.496,0.269,0.211,0.106,0.009,0.0,0.0,1,0,0,0,0,1,0
0.347,0.309,0.26,0.204,0.241,0.275,0.194,0.325,0.456,0.59,0.506,0.488,0.464,0.422,0.543,0.417,0.385,0.37,0.388,0.366,0.447,0.386,0.273,0.225,0.212,0.283,0.327,0.354,0.35,0.371,0.37,0.258,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0
0.0,0.0,0.021,0.152,0.184,0.212,0.104,0.068,0.211,0.311,0.249,0.297,0.31,0.234,0.309,0.28,0.309,0.284,0.327,0.308,0.363,0.402,0.364,0.333,0.354,0.37,0.327,0.198,0.135,0.137,0.147,0.11,0.074,0.083,0.122,0.111,0.036,0.0,0.0,0.0,1,0,0,0,0,1,0
0.284,0.26,0.254,0.204,0.197,0.297,0.272,0.338,0.505,0.607,0.483,0.531,0.479,0.312,0.283,0.25,0.309,0.343,0.327,0.239,0.21,0.157,0.12,0.112,0.177,0.257,0.349,0.24,0.235,0.216,0.18,0.174,0.124,0.212,0.309,0.38,0.379,0.379,0.365,0.348,1,0,0,0,0,1,0
0.165,0.118,0.042,0.055,0.08,0.201,0.201,0.17,0.333,0.389,0.227,0.254,0.202,0.066,0.123,0.137,0.138,0.142,0.164,0.202,0.237,0.209,0.169,0.06,0.066,0.138,0.202,0.205,0.273,0.327,0.336,0.241,0.201,0.23,0.314,0.459,0.513,0.528,0.533,0.496,1,0,0,0,0,1,0
0.222,0.244,0.245,0.274,0.294,0.342,0.28,0.305,0.481,0.574,0.375,0.307,0.304,0.197,0.238,0.233,0.257,0.27,0.302,0.308,0.38,0.39,0.281,0.191,0.167,0.235,0.335,0.316,0.335,0.295,0.269,0.232,0.157,0.192,0.364,0.441,0.46,0.476,0.431,0.384,1,0,0,0,0,1,0
