class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,airport,car,restaurant,street,train,man,woman
0.285,0.412,0.353,0.251,0.044,0.046,0.088,0.371,0.779,0.592,0.418,0.346,0.345,0.296,0.366,0.472,0.554,0.404,0.229,0.362,0.421,0.442,0.358,0.329,0.274,0.28,0.267,0.504,0.513,0.231,0.196,0.169,0.36,0.36,0.096,0.162,0.704,0.698,0.703,0.716,1,0,0,0,0,1,0
0.481,0.539,0.52,0.388,0.37,0.48,0.36,0.277,0.391,0.407,0.391,0.343,0.348,0.156,0.311,0.529,0.597,0.435,0.35,0.406,0.381,0.446,0.618,0.537,0.351,0.216,0.282,0.517,0.515,0.373,0.416,0.347,0.464,0.616,0.352,0.457,0.81,0.711,0.681,0.706,1,0,0,0,0,1,0
0.324,0.365,0.098,0.063,0.143,0.325,0.31,0.358,0.327,0.19,0.309,0.515,0.426,0.331,0.451,0.482,0.442,0.183,0.023,0.196,0.316,0.426,0.341,0.286,0.363,0.45,0.329,0.28,0.413,0.507,0.582,0.513,0.539,0.444,0.079,0.072,0.627,0.568,0.58,0.731,1,0,0,0,0,1,0
0.58,0.562,0.258,0.083,0.04,0.0,0.025,0.14,0.383,0.428,0.269,0.164,0.199,0.471,0.606,0.777,0.81,0.721,0.632,0.606,0.439,0.553,0.784,0.42,0.0,0.0,0.152,0.289,0.201,0.282,0.47,0.399,0.433,0.444,0.435,0.516,0.837,0.75,0.685,0.704,1,0,0,0,0,1,0
0.435,0.441,0.295,0.255,0.246,0.109,0.01,0.067,0.359,0.352,0.195,0.181,0.232,0.09,0.0,0.112,0.311,0.491,0.646,0.556,0.468,0.603,0.483,0.377,0.715,0.559,0.374,0.322,0.181,0.078,0.181,0.341,0.503,0.457,0.169,0.07,0.661,0.778,0.923,0.908,1,0,0,0,0,1,0
0.261,0.256,0.0,0.0,0.0,0.13,0.135,0.165,0.281,0.272,0.412,0.435,0.403,0.236,0.151,0.0,0.0,0.0,0.0,0.168,0.195,0.128,0.059,0.088,0.103,0.099,0.08,0.318,0.375,0.307,0.323,0.298,0.207,0.263,0.461,0.633,0.863,0.812,0.682,0.629,1,0,0,0,0,1,0
0.55,0.473,0.151,0.08,0.087,0.145,0.177,0.3,0.514,0.441,0.275,0.103,0.016,0.1,0.659,0.613,0.52,0.458,0.084,0.0,0.01,0.089,0.22,0.267,0.115,0.162,0.567,0.334,0.087,0.0,0.0,0.278,0.392,0.269,0.004,0.041,0.633,0.747,0.749,0.748,1,0,0,0,0,1,0
0.475,0.411,0.228,0.598,0.786,0.691,0.924,0.819,0.956,0.709,0.604,0.474,0.588,0.746,0.857,0.717,0.533,0.436,0.533,0.54,0.564,0.33,0.395,0.493,0.602,0.636,0.381,0.303,0.371,0.34,0.289,0.316,0.531,0.535,0.309,0.329,0.756,0.723,0.723,0.713,1,0,0,0,0,1,0
0.643,0.628,0.436,0.185,0.004,0.086,0.072,0.154,0.361,0.638,0.518,0.453,0.607,0.261,0.16,0.203,0.214,0.174,0.355,0.709,0.803,0.855,0.481,0.27,0.483,0.513,0.169,0.074,0.227,0.265,0.403,0.783,0.786,0.704,0.403,0.212,0.617,0.77,0.0,0.0,1,0,0,0,0,1,0
0.43,0.426,0.276,0.348,0.549,0.694,0.393,0.18,0.236,0.215,0.346,0.553,0.606,0.456,0.377,0.366,0.393,0.393,0.303,0.336,0.372,0.401,0.37,0.26,0.356,0.416,0.352,0.388,0.541,0.412,0.243,0.206,0.295,0.395,0.375,0.462,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0
0.56,0.443,0.081,0.144,0.153,0.304,0.427,0.542,0.605,0.348,0.566,0.705,0.76,0.438,0.265,0.352,0.351,0.24,0.344,0.569,0.451,0.364,0.327,0.429,0.376,0.435,0.483,0.573,0.53,0.454,0.587,0.502,0.541,0.499,0.427,0.497,0.84,0.0,0.0,0.0,1,0,0,0,0,1,0
0.523,0.446,0.442,0.613,0.573,0.507,0.721,0.765,0.66,0.417,0.388,0.237,0.248,0.241,0.401,0.464,0.562,0.567,0.386,0.319,0.35,0.374,0.369,0.332,0.267,0.329,0.384,0.501,0.572,0.544,0.565,0.545,0.747,0.84,0.627,0.358,0.823,0.807,0.753,0.744,1,0,0,0,0,1,0
0.178,0.198,0.202,0.44,0.505,0.052,0.118,0.342,0.67,0.792,0.942,0.566,0.299,0.161,0.348,0.523,0.591,0.442,0.337,0.42,0.492,0.535,0.483,0.411,0.382,0.398,0.392,0.46,0.42,0.241,0.415,0.596,0.691,0.559,0.319,0.317,0.701,0.651,0.66,0.669,1,0,0,0,0,1,0
0.434,0.425,0.381,0.3,0.324,0.438,0.532,0.431,0.441,0.309,0.354,0.569,0.536,0.47,0.46,0.639,0.764,0.767,0.552,0.478,0.595,0.739,0.774,0.832,0.638,0.438,0.281,0.755,0.98,0.928,0.861,0.455,0.416,0.372,0.334,0.629,0.974,0.89,0.778,0.698,1,0,0,0,0,1,0
0.497,0.463,0.258,0.135,0.098,0.169,0.307,0.411,0.558,0.499,0.497,0.451,0.456,0.585,0.577,0.551,0.498,0.474,0.399,0.373,0.353,0.474,0.467,0.441,0.663,0.932,0.974,0.544,0.455,0.646,0.882,0.568,0.783,0.957,0.924,0.905,0.876,0.673,0.66,0.687,1,0,0,0,0,1,0
0.599,0.572,0.525,0.533,0.453,0.558,0.509,0.542,0.713,0.615,0.783,0.232,0.124,0.296,0.717,0.682,0.754,0.821,0.848,0.671,0.631,0.663,0.42,0.211,0.097,0.053,0.003,0.246,0.44,0.524,0.535,0.301,0.321,0.355,0.33,0.436,0.841,0.784,0.787,0.761,1,0,0,0,0,0,1
0.262,0.318,0.288,0.344,0.376,0.429,0.214,0.0,0.0,0.008,0.397,0.301,0.206,0.226,0.451,0.613,0.252,0.233,0.385,0.622,0.714,0.538,0.551,0.487,0.421,0.433,0.372,0.587,0.531,0.345,0.328,0.336,0.407,0.407,0.4,0.431,0.705,0.612,0.629,0.672,1,0,0,0,0,0,1
